Bakery,Address,Latitude,Longitude,Latitude,Longtitude
Merrymead Farm,"2222 S Valley Forge Rd Lansdale, PA 19446",40.2089455,-75.3332932,,
Au Bon Pain,"421 Curie Blvd Philadelphia, PA 19104",39.9483552,-75.1966906,,
Nick's Old Original Roast Beef,"2149 S 20th St Philadelphia, PA 19145",39.9244465,-75.1793102,,
Grooveground,"647 Haddon Ave Collingswood, NJ 08108",39.9168814,-75.070367,,
Dattilo's Delicatessen,"8000 Horrocks St Philadelphia, PA 19152",40.0599798,-75.0524813,,
Kung Fu Tea,"1006 Arch St Philadelphia, PA 19107",39.9534207,-75.1567535,,
The Green Line Cafe,"4239 Baltimore Ave Philadelphia, PA 19104",39.9497951,-75.2090767,,
Suzy-Jo Donuts,"49 E 4th St Bridgeport, PA 19405",40.1053826,-75.340426,,
Del Buono's Bakery,"303 S White Horse Pike Stratford, NJ 08084",39.8277966,-74.9991823,,
The Station,"10 E Chestnut Ave Merchantville, NJ 08109",39.9523149,-75.0485778,,
Krispy Kreme,"1170 Haddon Ave Collingswood, NJ 08108",39.91273,-75.0575506,,
Old City Coffee,"1136 Arch St Philadelphia, PA 19107",39.9531593,-75.1590984,,
Hearth Baker,"1118 N Broad St Lansdale, PA 19446",40.2510277,-75.2749579,,
Mama Buntz Donut,"421 Hurffville - Cross Keys Rd Sewell, NJ 08080",39.7338119,-75.0638068,,
Pancho's Café,"152 West Girard Ave Philadelphia, PA 19123",39.9690877,-75.1381748,,
Dixie Picnic,"215 Lancaster Ave Malvern, PA 19355",40.0413579,-75.5428863,,
Del Buono's Bakery,"34 West Route 70 Marlton, NJ 08053",39.8928282,-74.9244322,,
Last Drop,"1300 Pine St Philadelphia, PA 19107",39.9451402,-75.1630885,,
Au Bon Pain,"1625 Chestnut St Philadelphia, PA 19103",39.952012,-75.1677625,,
Angels Donuts,"267 E County Line Rd Hatboro, PA 19040",40.1806769,-75.0865427,,
Tasty Way,N/A,,,,
Cinnabon,"1101 Market St Philadelphia, PA 19107",39.9521671,-75.1584143,,
Lennie's Hoagies,"6141 Ridge Ave Philadelphia, PA 19128",40.0348452,-75.2163983,,
Fitzwater Street Philly Bagels,"2001 Fitzwater St Philadelphia, PA 19146",39.9432012,-75.1755348,,
Jay's Deli,"1228 Spruce St Philadelphia, PA 19107",39.9464555,-75.1624759,,
Donut Plus,"1400 W Erie Ave Philadelphia, PA 19140",40.0091292,-75.1517557,,
7-Eleven,"3440 Market St Philadelphia, PA 19104",39.9557137,-75.1925667,,
Philly Pretzel Factory,"1401 W Passyunk Ave Philadelphia, PA 19145",39.925596,-75.17011,,
Locals Coffee & Eatery,"909 E Willow Grove Ave Wyndmoor, PA 19038",40.0827542,-75.1889354,,
Five Points Coffee,"47 Long Ln Upper Darby, PA 19082",39.9602467,-75.2624214,,
Skippack Village Italian Market,"4101 Skippack Pike Skippack Village, PA 19474",40.2274214,-75.4042229,,
The Original Bagel,"2914 W Chester Pike Broomall, PA 19008",39.9829224,-75.3718462,,
Tim Hortons,"57 White Horse Pike Stratford, NJ 08084",39.8309829,-75.0017202,,
Great Awakenings Cafe,"1466 E Cheltenham Ave Philadelphia, PA 19124",40.029444,-75.0811871,,
Soltane Cafe,"138 Bridge St Phoenixville, PA 19460",40.1340778,-75.5139754,,
Cacia's Bakery - Cherry Hill,"2081 Old Marlton Pike Cherry Hill, NJ 08003",39.8960677,-74.9494413,,
Cacia's Bakery,"25 Sicklerville Rd Monroe Township, NJ 08094",39.687047,-74.9951122,,
Cupcake Carnivale,"55 E Main St Moorestown, NJ 08057",39.9649741,-74.9445412,,
The Satellite Cafe,"701 S 50th St Philadelphia, PA 19143",39.9476547,-75.2227004,,
Duck Donuts,"201 Main St Ste 160 King Of Prussia, PA 19406",40.0833767,-75.4051841,,
Bagelicous,"1200 Delsea Dr Westville, NJ 08093",39.8445408,-75.1255772,,
Wawa,"3604 Chestnut St Philadelphia, PA 19104",39.9543347,-75.1950445,,
Antonio's Deli,"1014 Federal St Philadelphia, PA 19147",39.9345344,-75.1610472,,
Capital One Café,"135 S 17th St Ste A Philadelphia, PA 19103",39.9501583,-75.1689025,,
Hmart,"1138 Bristol Oxford Valley Rd Levittown, PA 19057",40.1657066,-74.8760629,,
Saxbys,"65 N 34th St Philadelphia, PA 19104",39.9574412,-75.1907705,,
Reen's Delicatessen,"12319 Academy Rd Parkwood Shopping Ctr Philadelphia, PA 19154",40.0954861,-74.975398,,
Rival Bros Coffee,"1100 Tasker St Philadelphia, PA 19148",39.9296792,-75.1633584,,
The Freshworks of Port Richmond,"2634 Belgrade St Philadelphia, PA 19125",39.9796117,-75.1176561,,
Mazzanti's Market,"320 Lincoln Ave Bristol, PA 19007",40.1020468,-74.8473834,,
Up-RYES Bagel & Deli,"22 N Bryn Mawr Ave Bryn Mawr, PA 19010",40.0219474,-75.3173015,,
Hatville Deli,"1136 Arch St Reading Terminal Market Philadelphia, PA 19107",39.9537075,-75.1584719,,
silvio's deli,"100 N York Rd Ste B Hatboro, PA 19040",40.179464,-75.1054097,,
Deeb's Bread,"257 Shell Rd Carneys Point, NJ 08069",39.7129711,-75.4703956,,
Heart Stone,"400 Franklin Ave Franklin Commons Phoenixville, PA 19460",40.1412783,-75.5207478,,
