"ZIP
Code",erap_fmr_br0,erap_fmr_br1,erap_fmr_br2,erap_fmr_br3,erap_fmr_br4,year,,,
98161,2260,2320,2700,3580,4170,2024,,,
98164,2211,2269,2645,3510,4080,2024,,,
98165,2260,2320,2700,3580,4170,2024,,,
98166,2211,2269,2645,3510,4080,2024,,,
98168,2211,2269,2645,3510,4080,2024,,,
98170,2260,2320,2700,3580,4170,2024,,,
98174,2260,2320,2700,3580,4170,2024,,,
98175,2260,2320,2700,3580,4170,2024,,,
98177,2250,2310,2690,3570,4150,2024,,,
98178,2211,2269,2645,3510,4080,2024,,,
98185,2260,2320,2700,3580,4170,2024,,,
98188,2211,2269,2645,3510,4080,2024,,,
98194,2260,2320,2700,3580,4170,2024,,,
98195,2320,2380,2780,3690,4280,2024,,,
98198,2211,2269,2645,3510,4080,2024,,,
98199,2490,2560,2980,3950,4600,2024,,,
98201,2211,2269,2645,3510,4080,2024,,,
98203,2211,2269,2645,3510,4080,2024,,,
98204,2211,2269,2645,3510,4080,2024,,,
98205,2211,2269,2645,3510,4080,2024,,,
98206,2211,2269,2645,3510,4080,2024,,,
98207,2211,2269,2645,3510,4080,2024,,,
98208,2211,2269,2645,3510,4080,2024,,,
98213,2211,2269,2645,3510,4080,2024,,,
98223,2211,2269,2645,3510,4080,2024,,,
98224,2211,2269,2645,3510,4080,2024,,,
98241,2211,2269,2645,3510,4080,2024,,,
98251,2211,2269,2645,3510,4080,2024,,,
98252,2211,2269,2645,3510,4080,2024,,,
98256,2211,2269,2645,3510,4080,2024,,,
98258,2270,2330,2720,3610,4200,2024,,,
98259,2211,2269,2645,3510,4080,2024,,,
98270,2211,2269,2645,3510,4080,2024,,,
98271,2211,2269,2645,3510,4080,2024,,,
98272,2211,2269,2645,3510,4080,2024,,,
98275,2340,2400,2800,3720,4320,2024,,,
98282,2211,2269,2645,3510,4080,2024,,,
98287,2211,2269,2645,3510,4080,2024,,,
98288,2211,2269,2645,3510,4080,2024,,,
98290,2211,2269,2645,3510,4080,2024,,,
98291,2211,2269,2645,3510,4080,2024,,,
98292,2211,2269,2645,3510,4080,2024,,,
98293,2211,2269,2645,3510,4080,2024,,,
98294,2211,2269,2645,3510,4080,2024,,,
98296,2580,2650,3090,4100,4770,2024,,,
98354,2211,2269,2645,3510,4080,2024,,,
98422,2211,2269,2645,3540,4090,2024,,,
98826,2211,2269,2645,3510,4080,2024,,,
98001,1660,1780,2150,3060,3600,2021,,,
98002,1470,1570,1890,2700,3180,2021,,,
98003,1470,1570,1890,2700,3180,2021,,,
98004,2290,2400,2860,4050,4770,2021,,,
98005,1830,1920,2290,3200,3770,2021,,,
98006,2090,2200,2620,3690,4340,2021,,,
98007,1850,1970,2370,3380,3980,2021,,,
98008,1790,1880,2240,3150,3700,2021,,,
98009,1550,1630,1940,2740,3230,2021,,,
98010,1470,1570,1890,2700,3180,2021,,,
98011,1650,1730,2070,2960,3480,2021,,,
98012,1670,1750,2110,3010,3540,2021,,,
98014,1470,1570,1890,2700,3180,2021,,,
98015,1550,1630,1940,2740,3230,2021,,,
98019,1620,1720,2070,2960,3480,2021,,,
98020,1570,1640,1960,2770,3250,2021,,,
98021,1850,1950,2340,3340,3940,2021,,,
98022,1470,1570,1890,2700,3180,2021,,,
98023,1470,1570,1890,2700,3180,2021,,,
98024,1470,1570,1890,2700,3180,2021,,,
98025,1550,1630,1940,2740,3230,2021,,,
98026,1470,1570,1890,2700,3180,2021,,,
98027,1750,1840,2190,3080,3630,2021,,,
98028,1470,1570,1890,2700,3180,2021,,,
98029,2210,2320,2790,3980,4690,2021,,,
98030,1470,1570,1890,2700,3180,2021,,,
98031,1470,1570,1890,2700,3180,2021,,,
98032,1470,1570,1890,2700,3180,2021,,,
98033,2050,2150,2560,3650,4300,2021,,,
98034,1740,1830,2200,3140,3690,2021,,,
98035,1550,1630,1940,2740,3230,2021,,,
98036,1470,1570,1890,2700,3180,2021,,,
98037,1470,1570,1890,2700,3180,2021,,,
98038,1920,2030,2440,3480,4100,2021,,,
98039,2030,2130,2550,3630,4280,2021,,,
98040,2020,2160,2610,3710,4370,2021,,,
98041,1550,1630,1940,2740,3230,2021,,,
98042,1770,1860,2250,3200,3770,2021,,,
98043,1470,1570,1890,2700,3180,2021,,,
98045,1610,1690,2020,2870,3370,2021,,,
98046,1470,1570,1890,2700,3180,2021,,,
98047,1470,1570,1890,2700,3180,2021,,,
98050,1650,1740,2070,2890,3420,2021,,,
98051,1690,1800,2170,3100,3650,2021,,,
98052,1950,2050,2470,3520,4140,2021,,,
98053,2030,2130,2540,3570,4210,2021,,,
98055,1620,1700,2040,2900,3420,2021,,,
98056,1470,1570,1890,2700,3180,2021,,,
98057,1470,1570,1890,2700,3180,2021,,,
98058,1510,1590,1910,2720,3210,2021,,,
98059,1680,1760,2100,2940,3460,2021,,,
98062,1550,1630,1940,2740,3230,2021,,,
98063,1550,1630,1940,2740,3230,2021,,,
98064,1550,1630,1940,2740,3230,2021,,,
98065,2050,2190,2640,3770,4430,2021,,,
98068,1490,1600,1920,2740,3230,2021,,,
98070,1470,1570,1890,2700,3180,2021,,,
98071,1550,1630,1940,2740,3230,2021,,,
98072,1790,1880,2240,3130,3690,2021,,,
98073,1550,1630,1940,2740,3230,2021,,,
98074,2290,2400,2860,4050,4770,2021,,,
98075,2290,2400,2860,4050,4770,2021,,,
98077,2200,2350,2840,4050,4770,2021,,,
98082,1470,1570,1890,2700,3180,2021,,,
98083,1550,1630,1940,2740,3230,2021,,,
98087,1530,1600,1910,2720,3210,2021,,,
98089,1550,1630,1940,2740,3230,2021,,,
98092,1470,1570,1890,2700,3180,2021,,,
98093,1550,1630,1940,2740,3230,2021,,,
98101,2290,2400,2860,4050,4770,2021,,,
98102,1930,2060,2480,3530,4160,2021,,,
98103,1840,1930,2320,3300,3890,2021,,,
98104,1530,1610,1930,2750,3240,2021,,,
98105,1700,1790,2130,3020,3560,2021,,,
98106,1470,1570,1890,2700,3180,2021,,,
98107,1820,1910,2280,3200,3770,2021,,,
98108,1470,1570,1890,2700,3180,2021,,,
98109,2130,2250,2710,3870,4550,2021,,,
98110,1470,1570,1890,2700,3180,2021,,,
98111,1550,1630,1940,2740,3230,2021,,,
98112,1640,1730,2080,2970,3500,2021,,,
98113,1550,1630,1940,2740,3230,2021,,,
98114,1550,1630,1940,2740,3230,2021,,,
98115,1770,1860,2250,3200,3770,2021,,,
98116,1610,1720,2070,2960,3480,2021,,,
98117,1740,1830,2180,3100,3650,2021,,,
98118,1470,1570,1890,2700,3180,2021,,,
98119,1870,1990,2410,3430,4040,2021,,,
98121,2290,2400,2860,4050,4770,2021,,,
98122,1780,1870,2230,3170,3740,2021,,,
98124,1550,1630,1940,2740,3230,2021,,,
98125,1580,1660,1980,2770,3260,2021,,,
98126,1470,1570,1890,2700,3180,2021,,,
98127,1550,1630,1940,2740,3230,2021,,,
98131,1550,1630,1940,2710,3200,2021,,,
98133,1470,1570,1890,2700,3180,2021,,,
98134,1530,1610,1920,2700,3180,2021,,,
98136,1480,1570,1890,2700,3180,2021,,,
